start	end	text
0	4240	So d by 18 of mn star ve
4240	5660	So ve is the same as before
5660	7740	What I have done over here is
7740	9720	I have stolen away the periodicity part
9720	13320	So I say that I write another set of equations
13320	15300	Where I modify the mass
15300	17880	So that I can throw away a vector on the right hand side
17880	20400	This is a mathematical operation
20400	24000	How do you modify the mass?
24600	27980	There are two ways in which people modify the mass
27980	31260	One way is to actually do really complicated calculations
31260	32400	Which we will go into later
32400	34500	Once I have defined both notions of effective mass
34500	36460	And the other which is always in this
36460	37560	Measured mass
37560	39680	How would you measure it?
40080	41240	How would you measure it?
43240	44300	That's what we don't do
44300	45880	That's why we have kind of reduced this equation
45880	49260	We don't want to go to the pathway of the first equation
49260	51320	We are desperately trying to avoid that
51320	51600	Yes
51600	55040	An equation is made for a single electron
55040	56820	Or it's for the mole of electron?
57480	57960	This
57960	58640	This equation
58640	59920	Good question
59920	61680	This question is
61680	64280	The second equation is what I would call a statistical equation
64280	66400	It refers to the average electron
66400	69800	So you expect most electrons to follow this
69800	70880	In that sense of an average
70880	73000	And we can do statistical averaging
73000	74960	Because we are starting with a very very large number
74960	76600	Of 10 to the power 23 of those electrons
76600	77000	Which is
77000	79260	The requirement of statistics
79260	82100	N represents electron
82100	83740	N always represents electron
83740	85500	Sub n always represents electron
85500	87080	Okay so
87080	87900	Yeah
87960	91360	Sir what does direction define energy?
91360	94200	Well your velocity is in a particular direction right?
94200	95800	That was earlier also right?
95800	96600	I am coming to that
96600	98440	Coming to that
98440	98840	So
98840	100280	What is F periodic?
100280	100680	Huh?
100680	102240	F periodic
102240	103160	F periodic is gone
103160	104200	Where is F periodic?
104200	106480	That is the whole reason we consider to be effective mass
106480	108680	Oh okay
108680	109600	Okay
109600	111640	So what is the loss of simplicity?
111640	114760	The mass is no longer a scalar now
114760	116240	Let us think in a little bit
116240	117840	Because we removed the periodicity so
117960	119720	Mass is no longer a scalar
119720	121440	You are in R3
121440	125760	I will have to define a different mass for each direction
125760	126560	Because
126560	127560	Okay think about it this way
127560	128720	You are moving in that direction
128720	130360	You are moving in different directions
130360	132720	Has a different set of inertia associated with it
132720	134800	How do we understand mass?
134800	135920	There is more scattering here
135920	139200	I say okay I am not going to worry about scattering arising from periodic sources
139200	141560	I am just going to lump it up into my
141560	143680	In a measure of inertia in that direction
143680	144960	So that is a direction dependence
144960	145960	So that is a direction dependence
145960	146960	So that is a direction dependence
146960	152440	And this is what is known as a kinematic definition of effective mass
152440	153680	There is going to be a different definition
153680	155480	It is going to be slightly more complicated
155480	157920	Unrelated to this
157920	159840	But often leads to similar numbers
159840	160840	But not always
160840	163160	The reason we need to understand that
163160	164920	But M star is a vector
164920	168760	M star is not a vector
168760	171640	It is a tensor
171640	174240	So basically it is a 3 by 3 matrix in R3P
176960	182080	All the matrixes have all the matrix properties
182080	185440	Right but then there are also cross terms
185440	189840	So whenever we talk about matrices
189840	192360	We say that it is diagonalizable under certain terms
192360	195880	So that you know you have got 0 above 0 at the bottom upper triangular lower triangular
195880	198200	And then there are 3 scalars along the diagonal
198200	200200	Similar to the vector matrix what we have
200200	203480	But in this case you cannot throw away the cross terms
203480	205480	It depends upon what kind of matrix actually you have got
205480	206440	How does that matrix work?
206960	207960	How does it look like?
207960	209960	We are coming to that
209960	214960	That is the project that allows me to present something
214960	218960	Okay now let us shell the discussion for a bit
218960	223960	And let me go into aspects which talk about construction of the lattice in the first place
223960	227960	Because the second definition arises naturally from there
227960	230960	Okay silicon atom
230960	233960	Let us imagine a universe where a single silicon atom exists
233960	234960	Okay
234960	236960	Obviously we cannot exist in that universe
236960	239960	Because we are not obligated in that
239960	244960	The shell structure for silicon is 1s2, 2s2, 2p6, 3s2, 3p2
244960	247960	We have seen this since I don't know 11th grade or something
247960	249960	Let us count is that 14?
249960	252960	Yeah 4 plus 6 plus 4
252960	256960	So I have got these two
256960	258960	What are the red and the blue lines?
258960	260960	Anybody want to guess?
260960	262960	Values?
262960	263960	Singularity
263960	264960	Singularity
264960	265960	Yes
265960	267960	Ground state and excited state
267960	269960	Because we have one single atom here
269960	275960	And the two atoms or rather you know the ion core is basically red
275960	276960	Which is at the bottom
276960	282960	And the signal electron which is free to move around is kind of shown schematically at the bottom
282960	284960	Okay
284960	287960	What is the red dot?
287960	289960	What is the red dot?
289960	290960	Red dot is the ion core
290960	293960	Basically 14 protons and a certain number of neutrons club together
293960	295960	What is the black dot?
295960	297960	Yeah that is the black dot
297960	300960	So what was the black?
300960	304960	The black dot is the electron that we are talking about right?
304960	305960	Oh
305960	307960	Huh?
307960	308960	Okay
308960	313960	The red core is essentially the nucleus of silicon
313960	316960	And the inner shell which don't participate in ground core
316960	317960	We don't care about
317960	318960	Everything except the valence shell
318960	320960	Valence shell is what we are interested in
320960	321960	Right?
321960	322960	Okay
322960	326960	Now let us now bring these two atoms closer to each other
326960	329960	I think you have seen in 11th grade what happens
329960	331960	Molecular orbital forms
331960	333960	Right?
333960	336960	And one of the properties of a molecular orbital are
336960	339960	That each energy level splits into two
339960	341960	Right?
341960	342960	Bonding and anti-bonding
342960	345960	The bonding being more stable and hence lower energy
345960	348960	So the ground state splits into two
348960	350960	Bonding and anti-bonding
350960	351960	And the excited state splits into two
351960	353960	So you have got four energy levels now
353960	357960	So two atoms brought together lead to four energy levels
357960	361960	I think we can start to see the beginning of a geometric sequence here
361960	362960	Sir
362960	363960	Yeah
363960	365960	Let us just consider one of the four energy levels
365960	366960	Yeah
366960	368960	Just to simplify
368960	371960	It will be too complicated to write four different
371960	372960	Okay
372960	378960	Now let us see what these states look like
378960	379960	You have all seen this
379960	381960	Atomic orbitals and how they form you know
381960	382960	Molecular orbitals
382960	386960	So there is an anti-bonding orbital which consists of a node
386960	390960	On the line connecting the two atoms
390960	391960	Sorry anti-node
391960	392960	Anti-node right
392960	394960	Because that is where the probability density is the minimum
394960	399960	And the bonding orbital means that there is more effective sharing of the electron cloud
399960	400960	Which forms a covalent bond
400960	401960	Hence the term bonding
401960	406960	And hence there is a node there
406960	408960	So this is LCAOQ
408960	410960	Kind of remember linear combination of atomic orbitals
410960	412960	That picture
412960	414960	Now let us bring in the number three
414960	416960	What is the below part?
416960	417960	Below part yeah
417960	423960	So the below part is basically the energy levels of potential
423960	426960	So each of these carriers carries different energy
426960	428960	It is from the textbook
428960	430960	It is pretty silly to take pictures according to the textbook
430960	431960	So what is this?
431960	433960	Why is there a well here?
